student_id,course_id,status
0,319,dropped
0,321,enrolled
0,324,enrolled
0,323,enrolled
0,320,enrolled
0,322,enrolled
1,141,enrolled
1,140,enrolled
1,137,enrolled
1,138,enrolled
1,144,enrolled
3,286,dropped
3,288,enrolled
3,291,enrolled
4,153,enrolled
4,149,enrolled
4,157,enrolled
4,159,enrolled
5,138,dropped
5,142,dropped
5,130,enrolled
6,329,enrolled
6,327,dropped
6,331,enrolled
6,326,dropped
6,328,enrolled
6,330,enrolled
7,187,enrolled
7,181,enrolled
7,183,enrolled
7,180,enrolled
8,252,enrolled
8,258,enrolled
8,259,dropped
8,256,dropped
9,314,dropped
9,315,enrolled
9,313,enrolled
9,312,enrolled
10,213,enrolled
10,215,enrolled
10,211,enrolled
11,293,enrolled
11,297,enrolled
11,292,enrolled
11,295,enrolled
11,301,dropped
11,300,enrolled
12,247,dropped
12,249,enrolled
12,243,enrolled
12,251,enrolled
12,248,enrolled
13,331,enrolled
13,326,enrolled
13,332,enrolled
14,252,enrolled
14,258,enrolled
14,257,enrolled
14,255,enrolled
14,256,enrolled
15,150,enrolled
15,159,dropped
15,153,enrolled
15,152,enrolled
15,149,enrolled
15,155,enrolled
16,55,enrolled
16,63,enrolled
16,65,enrolled
16,56,enrolled
16,61,enrolled
17,201,enrolled
17,202,enrolled
17,206,enrolled
18,66,enrolled
18,71,enrolled
18,74,enrolled
19,45,enrolled
19,34,enrolled
19,44,enrolled
19,48,enrolled
19,40,dropped
20,62,enrolled
20,63,enrolled
20,65,dropped
21,183,enrolled
21,180,enrolled
21,187,dropped
22,123,dropped
22,107,enrolled
22,111,enrolled
22,124,enrolled
22,118,enrolled
22,116,enrolled
23,89,enrolled
23,86,enrolled
23,81,enrolled
23,80,enrolled
23,90,enrolled
23,87,enrolled
24,249,enrolled
24,246,enrolled
24,244,enrolled
25,289,dropped
25,285,enrolled
25,291,enrolled
25,286,dropped
26,13,enrolled
26,2,enrolled
26,1,enrolled
27,209,enrolled
27,206,enrolled
27,201,enrolled
27,202,dropped
27,204,enrolled
28,150,enrolled
28,153,dropped
28,159,enrolled
28,149,dropped
29,11,enrolled
29,15,enrolled
29,5,enrolled
29,1,enrolled
29,0,enrolled
29,7,dropped
30,89,enrolled
30,84,enrolled
30,85,enrolled
30,87,dropped
30,83,dropped
30,91,enrolled
31,255,enrolled
31,257,enrolled
31,252,enrolled
31,256,enrolled
33,159,enrolled
33,150,enrolled
33,157,enrolled
34,180,enrolled
34,183,enrolled
34,187,enrolled
34,179,enrolled
34,181,enrolled
35,262,enrolled
35,264,enrolled
35,261,enrolled
35,263,dropped
35,265,dropped
36,16,enrolled
36,17,enrolled
36,21,enrolled
36,18,dropped
37,294,enrolled
37,292,enrolled
37,293,enrolled
37,297,enrolled
39,261,enrolled
39,263,enrolled
39,262,enrolled
39,264,enrolled
39,260,enrolled
40,55,enrolled
